City,Timestamp,TotalJamDelay,TrafficIndex,JamLengthKm,JamCount,TrafficIndexLastWeek,UpdateTimeUTCWeekAgo,LiveTravelTimePer10Km,HistoricTravelTimePer10Km,TravelDelayMinutes,Hour,DayName,Month,TrafficFrictionScore,FrictionCategory,TravelTimeInflationPct,FrictionVolatilityIndex,NetworkShockEscalation
abu-dhabi,2025-01-13 04:01:30.001,650.7,36.0,109.1,162.0,30.0,2025-01-06 04:01:30.000,11.614766936190572,10.26533011136789,1.3494368248226838,4,Monday,January,4.732407547207767,High,13.15,2.217106111054657,23.31
abu-dhabi,2025-01-13 03:46:00.000,540.4,30.0,101.4,136.0,27.0,2025-01-06 03:46:30.001,11.003179619645492,10.031544305625095,0.9716353140203946,3,Monday,January,2.9057399870393663,High,9.69,1.433531768116812,23.31
abu-dhabi,2025-01-13 02:46:30.000,71.8,7.0,18.9,23.0,6.0,2025-01-06 02:46:30.000,8.196277948933096,8.196509787039334,-0.000231838106238,2,Monday,January,-0.0001979948521787,Low,-0.0,0.11285540738200438,23.31
abu-dhabi,2025-01-13 01:46:30.001,8.2,2.0,4.1,2.0,2.0,2025-01-06 01:46:30.000,7.723807797300978,7.899046154929979,-0.1752383576290013,1,Monday,January,-0.0443694983399055,Low,-2.22,0.08587254812694615,23.31
abu-dhabi,2025-01-13 00:01:30.000,1.1,1.0,0.2,1.0,1.0,2025-01-06 00:01:30.000,8.336363491409566,8.604379091463072,-0.2680156000535056,0,Monday,January,-0.0311487438203902,Low,-3.11,0.03982980072238064,23.31
abu-dhabi,2025-01-12 23:01:30.000,5.6,2.0,0.4,2.0,1.0,2025-01-05 23:01:30.001,8.309698726713616,8.515686963693126,-0.2059882369795094,23,Sunday,January,-0.0483785366601064,Low,-2.42,0.15011440089024072,23.31
abu-dhabi,2025-01-12 22:31:30.000,5.0,2.0,0.9,1.0,1.0,2025-01-05 22:01:30.001,8.337259078951437,8.536888727435892,-0.1996296484844553,22,Sunday,January,-0.0467687127847607,Low,-2.34,0.6661628654385103,23.31
abu-dhabi,2025-01-12 21:01:30.001,10.2,3.0,1.5,5.0,3.0,2025-01-05 21:01:00.000,8.430087574522734,8.59058964030892,-0.1605020657861864,21,Sunday,January,-0.0560504246529513,Low,-1.87,1.3902225528282455,23.31
abu-dhabi,2025-01-12 20:01:30.000,40.9,13.0,9.9,16.0,5.0,2025-01-05 20:01:00.000,9.126345345794247,8.656093799763308,0.4702515460309389,20,Sunday,January,0.7062388924862812,Moderate,5.43,1.7697726618730758,23.31
abu-dhabi,2025-01-12 19:16:30.000,197.9,17.0,20.0,37.0,7.0,2025-01-05 19:01:00.000,9.716548509294466,9.014157164917814,0.7023913443766521,19,Sunday,January,1.3246554986721215,Moderate,7.79,2.348667688588142,23.31
abu-dhabi,2025-01-12 18:31:30.000,176.3,13.0,16.3,45.0,10.0,2025-01-05 18:01:00.000,9.67654935667211,9.507292874827062,0.1692564818450481,18,Sunday,January,0.2314364659798755,Moderate,1.78,2.1892873608071035,23.31
abu-dhabi,2025-01-12 17:01:00.000,176.3,14.0,17.7,60.0,14.0,2025-01-05 17:01:00.000,10.05684301212798,10.170995390377067,-0.114152378249086,17,Sunday,January,-0.1571265381753341,Low,-1.12,1.6238239385284865,23.31
abu-dhabi,2025-01-12 16:01:00.000,212.9,17.0,25.2,71.0,16.0,2025-01-05 16:01:00.001,10.329700970573692,10.41007742477002,-0.0803764541963278,16,Sunday,January,-0.131257402378807,Low,-0.77,1.539935985703489,23.31
